code,description_es,description_pt
A928,Otras fiebres virales especificadas transmitidas por mosquitos,Outras febres virais especificadas transmitidas por mosquitos
A929,Fiebre viral transmitida por mosquito,"Febre viral transmitida por mosquitos, não especificada"
A93,Otras fiebres virales transmitidas por artrópodos,
A930,Enfermedad por virus de Oropouche,Febre de Oropouche
A931,Fiebre transmitida por flebótomos,Febre por flebótomos
A932,Fiebre de Colorado transmitida por garrapatas,Febre do Colorado transmitida por carrapatos
A938,Otras fiebres virales especificadas transmitidas por artrópodos,Outras febres virais especificadas transmitidas por artrópodes
A94,Fiebre viral transmitida por artrópodos,"Febre viral transmitida por artrópodes, não especificada"
A95,Fiebre amarilla,
A950,Fiebre amarilla selvática,Febre amarela silvestre
A951,Fiebre amarilla urbana,Febre amarela urbana
A959,Fiebre amarilla,Febre amarela não especificada
A96,Fiebre hemorrágica por arenavirus,
A960,Fiebre hemorrágica de Junín,Febre hemorrágica de Junin
A961,Fiebre hemorrágica de Machupo,Febre hemorrágica de Machupo
A962,Fiebre de Lassa,Febre de Lassa
A968,Otras fiebres hemorrágicas por arenavirus,Outras febres hemorrágicas por arenavírus
A969,Fiebre hemorrágica por arenavirus,"Febre hemorrágica por arenavírus, não especificada"
A98,Otras fiebres virales hemorrágicas,
A980,Fiebre hemorrágica de Crimea-Congo,Febre hemorrágica da Criméia (do Congo)
A981,Fiebre hemorrágica de Omsk,Febre hemorrágica de Omsk
A982,Enfermedad de la selva de Kyasanur,Doença da floresta de Kyasanur
A983,Enfermedad por el virus de Marburg,Doença de Marburg
A984,Enfermedad por el virus de Ebola,Doença pelo vírus Ebola
A985,Fiebres hemorrágicas con síndrome renal,Febre hemorrágica com síndrome renal
A988,Otras fiebres hemorrágicas virales especificadas,Outras febres hemorrágicas especificadas por vírus
A99,Fiebre viral hemorrágica,Febres hemorrágicas virais não especificadas
B00,Infecciones herpéticas [herpes simple],
B00-B09,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,
B000,Eczema herpético,Eczema herpético
B001,Dermatitis vesicular herpética,Dermatite vesicular devido ao vírus do herpes
B002,Gingivoestomatitis y faringoamigdalitis herpética,Gengivoestomatite e faringoamigdalite devida ao vírus do herpes
B003,Meningitis herpética (G02.0),Meningite devida ao vírus do herpes
B004,Encefalitis herpética (G05.1),Encefalite devida ao vírus do herpes
B005,Oculopatía herpética,Afecções oculares devidas ao vírus do herpes
B007,Enfermedad herpética diseminada,Doença disseminada devida ao vírus do herpes
B008,Otras formas de infecciones herpéticas,Outras formas de infecção devida ao vírus do herpes
B009,Infección debida al virus del herpes,Infecção não especificada devida ao vírus do herpes
B01,Varicela,
B010,Meningitis debida a varicela (G02.0),Meningite por varicela
B011,Encefalitis debida a varicela (G05.1),Encefalite por varicela
B012,Neumonía debida a varicela (J17.1),Pneumopatia varicelosa
B018,Varicela con otras complicaciones,Varicela com outras complicações
B019,Varicela sin complicaciones,Varicela sem complicação
B02,Herpes zoster,
B020,Encefalitis debida a herpes zoster (G05.1),Encefalite pelo vírus do herpes zoster
B021,Meningitis debida a herpes zoster (G02.0),Meningite pelo vírus do herpes zoster
B022,Herpes zoster con otros compromisos del sistema nervioso,Herpes zoster acompanhado de outras manifestações neurológicas
B023,Herpes zoster ocular,Herpes zoster oftálmico
B027,Herpes zoster diseminado,Herpes zoster disseminado
B028,Herpes zoster con otras complicaciones,Herpes zoster com outras complicações
B029,Herpes zoster sin complicaciones,Herpes zoster sem complicação
B03,Viruela1,Varíola
B04,Viruela de los monos,Varíola dos macacos [Monkeypox]
B05,Sarampión,
B050,Sarampión complicado con encefalitis (G05.1),Sarampo complicado por encefalite
B051,Sarampión complicado con meningitis (G02.0),Sarampo complicado por meningite
B052,Sarampión complicado con neumonía (J17.1),Sarampo complicado por pneumonia
B053,Sarampión complicado con otitis media (H67.1),Sarampo complicado por otite média
B054,Sarampión con complicaciones intestinales,Sarampo com complicações intestinais
B058,Sarampión con otras complicaciones,Sarampo com outras complicações
B059,Sarampión sin complicaciones,Sarampo sem complicação
B06,Rubéola [sarampión alemán],
B060,Rubéola con complicaciones neurológicas,Rubéola com complicações neurológicas
B068,Rubéola con otras complicaciones,Rubéola com outras complicações
B069,Rubéola sin complicaciones,Rubéola sem complicação
B07,Verrugas víricas,Verrugas de origem viral
B08,Otras infecciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas,
B080,Otras infecciones debidas a ortopoxvirus,Outras infecções por ortopoxvírus
B081,Molusco contagioso,Molusco contagioso
B082,Exantema súbito [sexta enfermedad],Exantema súbito [sexta doença]
B083,Eritema infeccioso [quinta enfermedad],Eritema infeccioso [quinta doença]
B084,Estomatitis vesicular enteroviral con exantema,Estomatite vesicular devida a enterovírus com exantema
B085,Faringitis vesicular enterovírica,Faringite vesicular devida a enterovírus
B088,Otras infecciones virales especificadas,Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
B09,Infección viral no especificada,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
B15,Hepatitis aguda tipo A,
B15-B19,Hepatitis viral,
B150,Hepatitis aguda tipo A,Hepatite A com coma hepático
B159,Hepatitis aguda tipo A,Hepatite A sem coma hepático
B16,Hepatitis aguda tipo B,
B160,Hepatitis aguda tipo B,"Hepatite aguda B com agente Delta (co-infecção), com coma hepático"
B161,Hepatitis aguda tipo B,"Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático"
B162,Hepatitis aguda tipo B,"Hepatite aguda B sem agente Delta, com coma hepático"
B169,Hepatitis aguda tipo B,Hepatite aguda B sem agente Delta e sem coma hepático
B17,Otras hepatitis virales agudas,
B170,Infección (superinfección) aguda por agente delta en el portador de hepatitis B,(Super)infecção Delta aguda de portador de hepatite B
B171,Hepatitis aguda tipo C,Hepatite aguda C
B172,Hepatitis aguda tipo E,Hepatite aguda E
B178,Otras hepatitis virales agudas especificadas,Outras hepatites virais agudas especificadas
B18,Hepatitis viral crónica,
B180,Hepatitis viral tipo B crónica,Hepatite viral crônica B com agente Delta
B181,Hepatitis viral tipo B crónica,Hepatite crônica viral B sem agente Delta
B182,Hepatitis viral tipo C crónica,Hepatite viral crônica C
B188,Otras hepatitis virales crónicas,Outras hepatites crônicas virais
B189,Hepatitis viral crónica,Hepatite viral crônica não especificada
B19,Hepatitis viral,
B190,Hepatitis viral no especificada con coma,"Hepatite viral, não especificada, com coma"
B199,Hepatitis viral no especificada sin coma,"Hepatite viral, não especificada, sem coma"
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],
B20-B24,Enfermedad por virus de la inmunodeficiencia ­humana [VIH],
B200,Enfermedad por VIH,Doença pelo HIV resultando em infecções micobacterianas
B201,Enfermedad por VIH,Doença pelo HIV resultando em outras infecções bacterianas
B202,Enfermedad por VIH,Doença pelo HIV resultando em doença citomegálica
B203,Enfermedad por VIH,Doença pelo HIV resultando em outras infecções virais
B204,Enfermedad por VIH,Doença pelo HIV resultando em candidíase
B205,Enfermedad por VIH,Doença pelo HIV resultando em outras micoses
B206,Enfermedad por VIH,Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii
B207,Enfermedad por VIH,Doença pelo HIV resultando em infecções múltiplas
B208,Enfermedad por VIH,Doença pelo HIV resultando em outras doenças infecciosas e parasitárias
B209,Enfermedad por VIH,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada
B21,Enfermedad por virus de la inmunodeficiencia humana [VIH],
B210,Enfermedad por VIH,Doença pelo HIV resultando em sarcoma de Kaposi
B211,Enfermedad por VIH,Doença pelo HIV resultando em linfoma de Burkitt
B212,Enfermedad por VIH,Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin
B213,Enfermedad por VIH,"Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos"
B217,Enfermedad por VIH,Doença pelo HIV resultando em múltiplas neoplasias malignas
B218,Enfermedad por VIH,Doença pelo HIV resultando em outras neoplasias malignas
B219,Enfermedad por VIH,Doença pelo HIV resultando em neoplasia maligna não especificada
B22,Enfermedad por virus de la inmunodeficiencia humana [VIH],
B220,Enfermedad por VIH,Doença pelo HIV resultando em encefalopatia
B221,Enfermedad por VIH,Doença pelo HIV resultando em pneumonite intersticial linfática
B222,Enfermedad por VIH,Doença pelo HIV resultando em síndrome de emaciação
B227,Enfermedad por VIH,Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte
B23,Enfermedad por virus de la inmunodeficiencia humana [VIH],
B230,Síndrome de infección aguda debida a VIH,Síndrome de infecção aguda pelo HIV
B231,Enfermedad por VIH,Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes)
B232,Enfermedad por VIH,Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte
B238,Enfermedad por VIH,Doença pelo HIV resultando em outra afecções especificadas
B24,Enfermedad por virus de la inmunodeficiencia humana [VIH],Doença pelo vírus da imunodeficiência humana [HIV] não especificada
B25,Enfermedad debida a virus citomegálico,
B25-B34,Otras enfermedades virales,
B250,Neumonitis debida a virus citomegálico (J17.1),Pneumonite por citomegalovírus
B251,Hepatitis debida a virus citomegálico ((K77.0),Hepatite por citomegalovírus
B252,Pancreatitis debida a virus citomegálico (K87.1),Pancreatite por citomegalovírus
B258,Otras enfermedades debidas a virus citomegálico,Outras doenças por citomegalovírus
B259,Enfermedad por virus citomegálico,Doença não especificada por citomegalovírus
B26,Parotiditis infecciosa,
B260,Orquitis por parotiditis (N51.1),Orquite por caxumba [parotidite epidêmica]
B261,Meningitis por parotiditis (G02.0),Meningite por caxumba [parotidite epidêmica]
B262,Encefalitis por parotiditis (G05.1),Encefalite por caxumba [parotidite epidêmica]
B263,Pancreatitis por parotiditis (K87.1),Pancreatite por caxumba [parotidite epidêmica]
B268,Parotiditis infecciosa con otras complicaciones,Caxumba [parotidite epidêmica] com outras complicações
B269,Parotiditis,Caxumba [parotidite epidêmica] sem complicações
B27,Mononucleosis infecciosa,
B270,Mononucleosis debida a herpes virus gamma,Mononucleose pelo vírus herpes gama
B271,Mononucleosis por citomegalovirus,Mononucleose por citomegalovírus
B278,Otras mononucleosis infecciosas,Outras mononucleoses infecciosas
B279,Mononucleosis infecciosa,Mononucleose infecciosa não especificada
B30,Conjuntivitis viral,
B300,Queratoconjuntivitis debida a adenovirus (H19.2),Ceratoconjuntivite devida a adenovírus
B301,Conjuntivitis debida a adenovirus (H13.1),Conjuntivite devida a adenovírus
B302,Faringoconjuntivitis viral,Faringoconjuntivite viral
B303,Conjuntivitis epidémica aguda hemorrágica (enterovírica) (H13.1),Conjuntivite hemorrágica aguda endêmica (por enterovírus)
B308,Otras conjuntivitis virales (H13.1),Outras conjuntivites virais
B309,Conjuntivitis viral,Conjuntivite viral não especificada
B33,Otras enfermedades virales,
B330,Mialgia epidémica,Mialgia epidêmica
B331,Enfermedad del río Ross,Doença de Ross River
B332,Carditis viral,Cardite viral
B333,Infecciones debidas a retrovirus,Infecção por retrovírus não classificada em outra parte
B334,Síndrome (cardio)-pulmonar por hantavirus [SPH] [SCPH] (J17.1),Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH]
B338,Otras enfermedades virales especificadas,Outras doenças especificadas por vírus
B34,Infección viral de sitio no especificado,
B340,Infección debida a adenovirus,Infecção por adenovírus de localização não especificada
B341,Infección debida a enterovirus,Infecção por enterovírus de localização não especificada
B342,Infección debida a Coronavirus,Infecção por coronavírus de localização não especificada
B343,Infección debida a Parvovirus,Infecção por parvovírus de localização não especificada
B344,Infección debida a Papovavirus,Infecção por papovavírus de localização não especificada
B348,Otras infecciones virales,Outras infecções por vírus de localização não especificada
B349,Infección viral,Infecção viral não especificada
B35,Dermatofitosis,
B35-B49,Micosis,
B350,Tiña de la barba y del cuero cabelludo,Tinha da barba e do couro cabeludo
B351,Tiña de las uñas,Tinha das unhas
B352,Tiña de la mano,Tinha da mão
B353,Tiña del pie [Tinea pedis],Tinha dos pés
B354,Tiña del cuerpo [Tinea corporis],Tinha do corpo
B355,Tiña imbricada [Tinea imbricata],Tinha imbricada
B356,Tiña inguinal [Tinea cruris],Tinea cruris
B358,Otras dermatofitosis,Outras dermatofitoses
B359,Dermatofitosis,Dermatofitose não especificada
B36,Otras micosis superficiales,
B360,Pitiriasis versicolor,Pitiríase versicolor
B361,Tiña negra,Tinha negra
B362,Piedra blanca,Piedra branca
B363,Piedra negra,Piedra negra
B368,Otras micosis superficiales especificadas,Outras micoses superficiais especificadas
B369,Micosis superficial,Micose superficial não especificada
B37,Candidiasis,
B370,Estomatitis candidiásica,Estomatite por Candida
B371,Candidiasis pulmonar,Candidíase pulmonar
B372,Candidiasis de la piel y las uñas,Candidíase da pele e das unhas
B373,Candidiasis de la vulva y de la vagina (N77.1),Candidíase da vulva e da vagina
